id,titolo,ente,fonte,tipo_agevolazione,beneficiari,settore,ambito,dimensione,obiettivo,dotazione,data_apertura,data_scadenza,stato,url
INC1423,Partecipazione alla Fiera Internazionale del Libro- Buchmesse Francoforte 2023 - Regione Lazio,Lazio Innova S.p.a.,Stato,fondo_perduto,startup,tutti,Lazio,media;micro;piccola,internazionalizzazione,36664,2023-09-08,2023-12-23,scaduto,https://www.regione.lazio.it/notizia/fiera-internazionale-libro-francoforte
INC1424,Manifestazione di interesse per “Italian Women in Silicon Valley” – INNOVIT - Regione Lazio,Lazio Innova S.p.a.,Stato,fondo_perduto,startup,tutti,Lazio,media;micro;piccola,internazionalizzazione,41056,2023-10-03,2023-12-31,scaduto,https://www.lazioinnova.it/laziointernational/2023/10/03/manifestazione-di-interesse-per-la-partecipazione-a-italian-women-in-silicon-valley-innovit/
INC1426,"Promozione dell’ecoefficienza e riduzione dei consumi energetici nelle sale teatrali e nei cinema, pubblici e privati - PNRR M1C3I1.3 - Obiettivi 2 e 3",Ministero della Cultura - Direzione Generale Spettacolo,Stato,fondo_perduto,impresa,cultura,nazionale,grande;media;piccola,digitalizzazione,200000000,2021-12-22,2026-12-31,aperto,https://spettacolo.cultura.gov.it/wp-content/uploads/2024/02/Avviso-pubblico_Proposte-di-intervento-per-la-promozione-della-ecoefficienza-e-riduzione-dei-consumi-energetici-nelle-sale-teatrali-e-cinema.pdf
INC1427,Bando per la transizione sostenibile delle imprese turistiche Anno 2024 - CCIAA Maremma e Tirreno,Camera di Commercio della Maremma e del Tirreno,Stato,fondo_perduto,impresa,tutti,Toscana,media;micro;piccola,transizione_ecologica,30000,2024-03-19,2024-11-29,scaduto,https://www.lg.camcom.it/bandi/bando-transizione-sostenibile-delle-imprese-turistiche-anno-2024
INC1428,Contributi per la realizzazione di percorsi di accompagnamento delle imprese alla sostenibilità Anno 2024 - CCIAA Cuneo,"Camera di Commercio, Industria, Artigianato e Agricoltura di Cuneo",Stato,fondo_perduto,terzo_settore,tutti,Piemonte,micro;media;grande;piccola,transizione_ecologica,100000,2024-04-03,2024-10-30,scaduto,https://www.cn.camcom.it/bandiconsorzi
INC1429,CTEMT: Selezione di soggetti interessati a partecipare alla Call4Ideas della Casa delle Tecnologie Emergenti di Matera,Comune di Matera,Stato,fondo_perduto,impresa;terzo_settore;startup,tutti,nazionale,grande;media;micro;piccola,startup,100000,2023-04-06,2023-06-04,scaduto,https://www.comune.matera.it/avvisi/item/5642-ctemt-avviso-pubblico-per-la-selezione-di-soggetti-interessati-a-partecipare-alla-call4ideas-della-casa-delle-tecnologie-emergenti-di-matera-cup-i14e20000020001
INC143,"Credito d’imposta R&S, innovazione tecnologica, design e ideazione estetica",Ministero dello sviluppo economico/Agenzia delle entrate,Stato,credito_imposta,impresa,tutti,nazionale,media;grande;piccola,transizione_ecologica;ricerca_sviluppo;digitalizzazione,0,2019-12-31,,aperto,https://www.mise.gov.it/index.php/it/incentivi/credito-d-imposta-r-s
INC1430,CTEMT – Selezione di soggetti interessati a partecipare alla Call4Solutions della Casa delle Tecnologie Emergenti di Matera,Comune di Matera,Stato,fondo_perduto,impresa;terzo_settore;startup,tutti,nazionale,grande;media;micro;piccola,investimenti;startup,455000,2023-04-05,2023-06-04,scaduto,https://www.comune.matera.it/avvisi/item/5644-ctemt-avviso-pubblico-di-manifestazione-di-interesse-per-la-selezione-di-soggetti-interessati-a-partecipare-alla-call4solutions-della-casa-delle-tecnologie-emergenti-di-matera-cup-i14e20000020001
INC1431,Bando fiere internazionali - CCIAA Toscana Nord Ovest,"Camera di commercio, industria, artigianato e agricoltura della Toscana Nord Ovest",Stato,fondo_perduto,impresa,tutti,nazionale,grande;media;micro;piccola,internazionalizzazione,300000,2024-04-22,2024-09-30,scaduto,https://tno.camcom.it/bandi/bandi-aperti
INC1433,Concessione di contributi a fondo perduto per esercizi ricettivi - Provincia Autonoma Bolzano,Provincia Autonoma di Bolzano,Stato,fondo_perduto,startup;impresa,alberghiero,Trentino-Alto Adige,micro;media;grande;piccola,investimenti,10000000,2024-01-01,2026-12-31,aperto,https://www.provincia.bz.it/turismo-mobilita/turismo/default.asp
INC1434,Concessione di contributi a fondo perduto per esercizi di somministrazione di paste e bevande - Provincia Autonoma Bolzano,"Provincia Autonoma di Bolzano - Dipartimento Agricoltura, Foreste, Turismo e Protezione Civile - Area Funzionale Turismo",Stato,fondo_perduto,impresa,alberghiero,Trentino-Alto Adige,grande;media;micro;piccola,investimenti,1000000,2024-01-01,2026-12-31,aperto,https://www.provincia.bz.it/turismo-mobilita/turismo/default.asp
